Year,El Nino Total,El Nino Severe,La Nina Total,La Nina Severe,Moderate Total,Moderate Severe
1980,0,0,0,0,5,0
1981,0,0,0,0,2,0
1982,1,0,0,0,0,0
1983,22,14,0,0,0,0
1984,0,0,0,0,2,1
1985,0,0,0,0,1,0
1986,0,0,0,0,4,0
1987,26,19,0,0,0,0
1988,11,3,0,0,0,0
1989,0,0,4,1,0,0
1990,0,0,0,0,11,4
1991,8,5,0,0,0,0
1992,7,1,0,0,0,0
1993,0,0,0,0,5,1
1994,0,0,0,0,8,4
1995,0,0,0,0,18,9
1996,0,0,0,0,9,5
1997,14,2,0,0,0,0
1998,73,57,0,0,0,0
1999,0,0,10,0,0,0
2000,0,0,13,5,0,0
2001,0,0,0,0,12,1
2002,0,0,0,0,21,14
2003,0,0,0,0,23,5
2004,0,0,0,0,19,5
2005,0,0,0,0,40,21
2006,0,0,0,0,18,2
2007,0,0,16,5,0,0
2008,0,0,10,3,0,0
2009,0,0,0,0,14,4
2010,0,0,53,37,0,0
2011,0,0,14,3,0,0
2012,0,0,0,0,7,1
2013,0,0,0,0,8,3
2014,0,0,0,0,14,5
2015,30,16,0,0,0,0
2016,54,43,0,0,0,0